customer_id,segment,alert_level,financial_health,finshield_score,is_flagged,recommended_actions
C10045,Active Investor,NORMAL,GOOD,606.0,0,Continue Standard Monitoring
C10046,Strong Saver,NORMAL,FAIR,564.0,0,Continue Standard Monitoring
C10047,Highly Leveraged,NORMAL,GOOD,611.0,0,Continue Standard Monitoring
C10048,Highly Leveraged,NORMAL,FAIR,595.0,0,Continue Standard Monitoring
C10049,Strong Saver,NORMAL,GOOD,671.0,0,Continue Standard Monitoring
C10050,Highly Leveraged,WATCHLIST,POOR,426.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10051,Standard,NORMAL,GOOD,670.0,0,Continue Standard Monitoring
C10052,Active Investor,PRIORITY ALERT,POOR,373.0,1,Offer Financial Planning Session; Manual Fraud Review
C10053,Strong Saver,CREDIT ALERT,CRITICAL,288.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10054,Strong Saver,WATCHLIST,POOR,334.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10055,Highly Leveraged,WATCHLIST,POOR,375.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10056,Strong Saver,NORMAL,FAIR,560.0,0,Continue Standard Monitoring
C10057,Active Investor,WATCHLIST,POOR,397.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10058,Highly Leveraged,NORMAL,GOOD,744.0,0,Continue Standard Monitoring
C10059,Highly Leveraged,NORMAL,FAIR,597.0,0,Encourage Emergency Savings Buffer
C10060,Active Investor,NORMAL,FAIR,549.0,0,Continue Standard Monitoring
C10061,Standard,NORMAL,FAIR,454.0,0,Continue Standard Monitoring
C10062,Highly Leveraged,NORMAL,GOOD,697.0,0,Continue Standard Monitoring
C10063,Strong Saver,NORMAL,GOOD,712.0,0,Continue Standard Monitoring
C10064,Strong Saver,NORMAL,GOOD,625.0,0,Continue Standard Monitoring
C10065,Strong Saver,NORMAL,FAIR,583.0,0,Continue Standard Monitoring
C10066,Active Investor,NORMAL,GOOD,618.0,0,Continue Standard Monitoring
C10067,Standard,NORMAL,GOOD,677.0,0,Continue Standard Monitoring
C10068,Highly Leveraged,NORMAL,GOOD,665.0,0,Encourage Emergency Savings Buffer
C10069,Highly Leveraged,WATCHLIST,POOR,441.0,0,Reduce Loan Exposure; Offer Financial Planning Session; Encourage Emergency Savings Buffer
C10070,Strong Saver,NORMAL,GOOD,694.0,0,Continue Standard Monitoring
C10071,Strong Saver,WATCHLIST,POOR,379.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10072,Highly Leveraged,WATCHLIST,POOR,405.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10073,Credit-Reliant,NORMAL,EXCELLENT,772.0,0,Continue Standard Monitoring
C10074,Highly Leveraged,WATCHLIST,POOR,416.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10075,Active Investor,NORMAL,FAIR,586.0,0,Continue Standard Monitoring
C10076,Active Investor,NORMAL,GOOD,625.0,0,Continue Standard Monitoring
C10077,Highly Leveraged,NORMAL,EXCELLENT,752.0,0,Continue Standard Monitoring
C10078,Highly Leveraged,NORMAL,GOOD,611.0,0,Continue Standard Monitoring
C10079,Strong Saver,NORMAL,GOOD,691.0,0,Continue Standard Monitoring
C10080,Strong Saver,NORMAL,GOOD,686.0,0,Continue Standard Monitoring
C10081,Active Investor,NORMAL,GOOD,649.0,0,Continue Standard Monitoring
C10082,Highly Leveraged,NORMAL,GOOD,662.0,0,Continue Standard Monitoring
C10083,Active Investor,NORMAL,FAIR,544.0,0,Continue Standard Monitoring
C10084,Standard,WATCHLIST,POOR,367.0,0,Offer Financial Planning Session
C10085,Active Investor,NORMAL,GOOD,642.0,0,Continue Standard Monitoring
C10086,Active Investor,NORMAL,FAIR,590.0,0,Continue Standard Monitoring
C10087,Strong Saver,WATCHLIST,POOR,368.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10088,Strong Saver,NORMAL,FAIR,474.0,0,Continue Standard Monitoring
C10089,Highly Leveraged,NORMAL,GOOD,705.0,0,Continue Standard Monitoring
C10090,Strong Saver,NORMAL,FAIR,543.0,0,Continue Standard Monitoring
C10091,Highly Leveraged,NORMAL,GOOD,699.0,0,Continue Standard Monitoring
C10092,Highly Leveraged,NORMAL,FAIR,499.0,0,Encourage Emergency Savings Buffer
C10093,Strong Saver,NORMAL,GOOD,620.0,0,Continue Standard Monitoring
C10094,Highly Leveraged,WATCHLIST,POOR,368.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10095,Active Investor,NORMAL,EXCELLENT,772.0,0,Encourage Emergency Savings Buffer
C10096,Active Investor,WATCHLIST,POOR,373.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10097,Highly Leveraged,NORMAL,FAIR,546.0,0,Continue Standard Monitoring
C10098,Strong Saver,NORMAL,GOOD,691.0,0,Continue Standard Monitoring
C10099,Strong Saver,NORMAL,GOOD,624.0,0,Continue Standard Monitoring
C10100,Credit-Reliant,WATCHLIST,POOR,417.0,0,Offer Financial Planning Session
C10101,Highly Leveraged,NORMAL,GOOD,656.0,0,Continue Standard Monitoring
C10102,Standard,NORMAL,GOOD,608.0,0,Encourage Emergency Savings Buffer
C10103,Highly Leveraged,NORMAL,GOOD,696.0,0,Continue Standard Monitoring
C10104,Active Investor,NORMAL,FAIR,580.0,0,Continue Standard Monitoring
C10105,Strong Saver,NORMAL,FAIR,473.0,0,Continue Standard Monitoring
C10106,Strong Saver,NORMAL,FAIR,467.0,0,Continue Standard Monitoring
C10107,Active Investor,NORMAL,FAIR,585.0,0,Encourage Emergency Savings Buffer
C10108,Active Investor,NORMAL,FAIR,593.0,0,Continue Standard Monitoring
C10109,Strong Saver,CREDIT ALERT,CRITICAL,289.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10110,Highly Leveraged,WATCHLIST,POOR,394.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10111,Highly Leveraged,NORMAL,GOOD,694.0,0,Continue Standard Monitoring
C10112,Active Investor,NORMAL,GOOD,617.0,0,Continue Standard Monitoring
C10113,Highly Leveraged,NORMAL,GOOD,749.0,0,Continue Standard Monitoring
C10114,Strong Saver,WATCHLIST,POOR,302.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10115,Highly Leveraged,NORMAL,FAIR,579.0,0,Continue Standard Monitoring
C10116,Strong Saver,WATCHLIST,POOR,427.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10117,Strong Saver,WATCHLIST,POOR,378.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10118,Highly Leveraged,NORMAL,FAIR,467.0,0,Continue Standard Monitoring
C10119,Active Investor,WATCHLIST,POOR,305.0,0,Offer Financial Planning Session
C10120,Active Investor,WATCHLIST,POOR,301.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10121,Credit-Reliant,NORMAL,GOOD,687.0,0,Continue Standard Monitoring
C10122,Strong Saver,NORMAL,GOOD,678.0,0,Continue Standard Monitoring
C10123,Highly Leveraged,WATCHLIST,POOR,418.0,0,Reduce Loan Exposure; Offer Financial Planning Session; Encourage Emergency Savings Buffer
C10124,Highly Leveraged,NORMAL,FAIR,538.0,0,Continue Standard Monitoring
C10125,Active Investor,NORMAL,GOOD,624.0,0,Continue Standard Monitoring
C10126,Strong Saver,WATCHLIST,POOR,379.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10127,Highly Leveraged,WATCHLIST,POOR,326.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10128,Strong Saver,NORMAL,GOOD,678.0,0,Continue Standard Monitoring
C10129,Active Investor,WATCHLIST,POOR,446.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10130,Strong Saver,NORMAL,GOOD,677.0,0,Continue Standard Monitoring
C10131,Standard,WATCHLIST,POOR,427.0,0,Reduce Loan Exposure; Offer Financial Planning Session; Encourage Emergency Savings Buffer
C10132,Active Investor,NORMAL,FAIR,557.0,0,Encourage Emergency Savings Buffer
C10133,Highly Leveraged,NORMAL,GOOD,685.0,0,Continue Standard Monitoring
C10134,Highly Leveraged,WATCHLIST,POOR,364.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10135,Highly Leveraged,WATCHLIST,POOR,409.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10136,Highly Leveraged,NORMAL,FAIR,464.0,0,Continue Standard Monitoring
C10137,Strong Saver,WATCHLIST,POOR,371.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10138,Highly Leveraged,NORMAL,FAIR,567.0,0,Continue Standard Monitoring
C10139,Active Investor,NORMAL,GOOD,693.0,0,Continue Standard Monitoring
C10140,Highly Leveraged,NORMAL,GOOD,710.0,0,Continue Standard Monitoring
C10141,Strong Saver,NORMAL,GOOD,686.0,0,Continue Standard Monitoring
C10142,Highly Leveraged,NORMAL,GOOD,667.0,0,Continue Standard Monitoring
C10143,Standard,NORMAL,GOOD,621.0,0,Continue Standard Monitoring
C10144,Highly Leveraged,NORMAL,FAIR,529.0,0,Continue Standard Monitoring
C10145,Highly Leveraged,NORMAL,GOOD,640.0,0,Continue Standard Monitoring
C10146,Strong Saver,NORMAL,GOOD,630.0,0,Continue Standard Monitoring
C10147,Strong Saver,NORMAL,GOOD,677.0,0,Continue Standard Monitoring
C10148,Standard,NORMAL,GOOD,685.0,0,Encourage Emergency Savings Buffer
C10149,Highly Leveraged,NORMAL,GOOD,651.0,0,Continue Standard Monitoring
C10150,Highly Leveraged,WATCHLIST,POOR,415.0,0,Reduce Loan Exposure; Offer Financial Planning Session; Encourage Emergency Savings Buffer
C10151,Highly Leveraged,NORMAL,GOOD,690.0,0,Continue Standard Monitoring
C10152,Strong Saver,NORMAL,GOOD,638.0,0,Continue Standard Monitoring
C10153,Active Investor,WATCHLIST,POOR,382.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10154,Highly Leveraged,WATCHLIST,POOR,431.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10155,Strong Saver,NORMAL,GOOD,702.0,0,Continue Standard Monitoring
C10156,Highly Leveraged,NORMAL,GOOD,703.0,0,Continue Standard Monitoring
C10157,Strong Saver,WATCHLIST,POOR,410.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10158,Strong Saver,NORMAL,FAIR,453.0,0,Continue Standard Monitoring
C10159,Strong Saver,CREDIT ALERT,CRITICAL,268.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10160,Strong Saver,NORMAL,GOOD,665.0,0,Continue Standard Monitoring
C10161,Strong Saver,CREDIT ALERT,CRITICAL,290.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10162,Active Investor,NORMAL,FAIR,552.0,0,Continue Standard Monitoring
C10163,Highly Leveraged,NORMAL,FAIR,466.0,0,Continue Standard Monitoring
C10164,Highly Leveraged,WATCHLIST,POOR,331.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10165,Highly Leveraged,NORMAL,GOOD,692.0,0,Continue Standard Monitoring
C10166,Strong Saver,NORMAL,FAIR,575.0,0,Continue Standard Monitoring
C10167,Active Investor,NORMAL,GOOD,654.0,0,Continue Standard Monitoring
C10168,Highly Leveraged,NORMAL,FAIR,544.0,0,Continue Standard Monitoring
C10169,Strong Saver,NORMAL,FAIR,575.0,0,Continue Standard Monitoring
C10170,Active Investor,NORMAL,FAIR,454.0,0,Continue Standard Monitoring
C10171,Strong Saver,NORMAL,GOOD,737.0,0,Continue Standard Monitoring
C10172,Strong Saver,NORMAL,GOOD,686.0,0,Continue Standard Monitoring
C10173,Credit-Reliant,WATCHLIST,POOR,340.0,0,Offer Financial Planning Session
C10174,Active Investor,WATCHLIST,POOR,336.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10175,Highly Leveraged,WATCHLIST,POOR,417.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10176,Highly Leveraged,WATCHLIST,POOR,396.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10177,Highly Leveraged,WATCHLIST,POOR,422.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10178,Highly Leveraged,NORMAL,GOOD,653.0,0,Continue Standard Monitoring
C10179,Strong Saver,NORMAL,GOOD,649.0,0,Continue Standard Monitoring
C10180,Strong Saver,NORMAL,FAIR,531.0,0,Continue Standard Monitoring
C10181,Highly Leveraged,NORMAL,GOOD,677.0,0,Continue Standard Monitoring
C10182,Standard,NORMAL,FAIR,469.0,0,Encourage Emergency Savings Buffer
C10183,Highly Leveraged,NORMAL,GOOD,693.0,0,Encourage Emergency Savings Buffer
C10184,Strong Saver,NORMAL,GOOD,694.0,0,Continue Standard Monitoring
C10185,Highly Leveraged,NORMAL,GOOD,703.0,0,Continue Standard Monitoring
C10186,Standard,WATCHLIST,POOR,380.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10187,Highly Leveraged,NORMAL,GOOD,671.0,0,Continue Standard Monitoring
C10188,Active Investor,WATCHLIST,POOR,337.0,0,Offer Financial Planning Session
C10189,Strong Saver,NORMAL,GOOD,701.0,0,Continue Standard Monitoring
C10190,Active Investor,NORMAL,GOOD,700.0,0,Continue Standard Monitoring
C10191,Strong Saver,WATCHLIST,POOR,338.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10192,Active Investor,NORMAL,GOOD,712.0,0,Encourage Emergency Savings Buffer
C10193,Strong Saver,WATCHLIST,POOR,373.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10194,Strong Saver,NORMAL,FAIR,457.0,0,Continue Standard Monitoring
C10195,Active Investor,CREDIT ALERT,CRITICAL,293.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10196,Highly Leveraged,WATCHLIST,POOR,417.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10197,Highly Leveraged,NORMAL,GOOD,669.0,0,Continue Standard Monitoring
C10198,Strong Saver,NORMAL,FAIR,575.0,0,Continue Standard Monitoring
C10199,Strong Saver,CREDIT ALERT,CRITICAL,253.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10200,Active Investor,FRAUD WATCH,FAIR,485.0,1,Manual Fraud Review
C10201,Highly Leveraged,NORMAL,GOOD,728.0,0,Continue Standard Monitoring
C10202,Active Investor,NORMAL,GOOD,631.0,0,Continue Standard Monitoring
C10203,Strong Saver,NORMAL,GOOD,622.0,0,Continue Standard Monitoring
C10204,Highly Leveraged,NORMAL,GOOD,673.0,0,Continue Standard Monitoring
C10205,Active Investor,NORMAL,FAIR,541.0,0,Continue Standard Monitoring
C10206,Strong Saver,CREDIT ALERT,CRITICAL,296.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10207,Standard,NORMAL,FAIR,490.0,0,Continue Standard Monitoring
C10208,Active Investor,WATCHLIST,POOR,399.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10209,Active Investor,NORMAL,GOOD,732.0,0,Continue Standard Monitoring
C10210,Strong Saver,NORMAL,FAIR,560.0,0,Continue Standard Monitoring
C10211,Highly Leveraged,WATCHLIST,POOR,327.0,0,Reduce Loan Exposure; Offer Financial Planning Session; Encourage Emergency Savings Buffer
C10212,Highly Leveraged,CREDIT ALERT,CRITICAL,255.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10213,Strong Saver,NORMAL,FAIR,574.0,0,Continue Standard Monitoring
C10214,Highly Leveraged,NORMAL,GOOD,662.0,0,Continue Standard Monitoring
C10215,Strong Saver,NORMAL,GOOD,654.0,0,Continue Standard Monitoring
C10216,Strong Saver,WATCHLIST,POOR,440.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10217,Standard,NORMAL,GOOD,697.0,0,Encourage Emergency Savings Buffer
C10218,Highly Leveraged,WATCHLIST,POOR,375.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10219,Strong Saver,NORMAL,GOOD,671.0,0,Continue Standard Monitoring
C10220,Active Investor,CREDIT ALERT,CRITICAL,265.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10221,Strong Saver,WATCHLIST,POOR,427.0,0,Offer Financial Planning Session
C10222,Strong Saver,WATCHLIST,POOR,309.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10223,Credit-Reliant,NORMAL,GOOD,708.0,0,Continue Standard Monitoring
C10224,Highly Leveraged,NORMAL,FAIR,564.0,0,Continue Standard Monitoring
C10225,Active Investor,WATCHLIST,POOR,307.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10226,Active Investor,WATCHLIST,POOR,324.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10227,Strong Saver,NORMAL,GOOD,694.0,0,Continue Standard Monitoring
C10228,Strong Saver,NORMAL,GOOD,732.0,0,Continue Standard Monitoring
C10229,Strong Saver,WATCHLIST,POOR,436.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10230,Strong Saver,NORMAL,GOOD,705.0,0,Continue Standard Monitoring
C10231,Highly Leveraged,WATCHLIST,POOR,367.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10232,Highly Leveraged,WATCHLIST,POOR,416.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10233,Active Investor,NORMAL,GOOD,675.0,0,Continue Standard Monitoring
C10234,Strong Saver,NORMAL,GOOD,656.0,0,Continue Standard Monitoring
C10235,Strong Saver,NORMAL,FAIR,479.0,0,Continue Standard Monitoring
C10236,Highly Leveraged,NORMAL,GOOD,673.0,0,Encourage Emergency Savings Buffer
C10237,Strong Saver,NORMAL,FAIR,548.0,0,Continue Standard Monitoring
C10238,Strong Saver,NORMAL,GOOD,626.0,0,Continue Standard Monitoring
C10239,Highly Leveraged,NORMAL,GOOD,611.0,0,Continue Standard Monitoring
C10240,Active Investor,NORMAL,FAIR,596.0,0,Continue Standard Monitoring
C10241,Highly Leveraged,NORMAL,FAIR,450.0,0,Continue Standard Monitoring
C10242,Highly Leveraged,NORMAL,GOOD,614.0,0,Continue Standard Monitoring
C10243,Active Investor,NORMAL,GOOD,706.0,0,Continue Standard Monitoring
C10244,Highly Leveraged,NORMAL,GOOD,696.0,0,Continue Standard Monitoring
C10245,Strong Saver,WATCHLIST,POOR,313.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10246,Strong Saver,NORMAL,GOOD,704.0,0,Continue Standard Monitoring
C10247,Highly Leveraged,NORMAL,GOOD,723.0,0,Encourage Emergency Savings Buffer
C10248,Active Investor,NORMAL,GOOD,605.0,0,Continue Standard Monitoring
C10249,Active Investor,WATCHLIST,POOR,305.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10250,Strong Saver,NORMAL,FAIR,457.0,0,Continue Standard Monitoring
C10251,Strong Saver,NORMAL,FAIR,459.0,0,Continue Standard Monitoring
C10252,Highly Leveraged,NORMAL,GOOD,687.0,0,Continue Standard Monitoring
C10253,Active Investor,NORMAL,EXCELLENT,775.0,0,Continue Standard Monitoring
C10254,Active Investor,NORMAL,GOOD,655.0,0,Continue Standard Monitoring
C10255,Strong Saver,NORMAL,FAIR,483.0,0,Continue Standard Monitoring
C10256,Active Investor,CREDIT ALERT,CRITICAL,273.0,0,Offer Financial Planning Session
C10257,Highly Leveraged,WATCHLIST,POOR,376.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10258,Highly Leveraged,NORMAL,GOOD,621.0,0,Continue Standard Monitoring
C10259,Active Investor,NORMAL,FAIR,467.0,0,Continue Standard Monitoring
C10260,Highly Leveraged,WATCHLIST,POOR,303.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10261,Highly Leveraged,NORMAL,FAIR,468.0,0,Continue Standard Monitoring
C10262,Standard,NORMAL,GOOD,647.0,0,Continue Standard Monitoring
C10263,Strong Saver,WATCHLIST,POOR,352.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10264,Strong Saver,NORMAL,GOOD,701.0,0,Continue Standard Monitoring
C10265,Highly Leveraged,NORMAL,GOOD,701.0,0,Continue Standard Monitoring
C10266,Active Investor,WATCHLIST,POOR,386.0,0,Offer Financial Planning Session; Encourage Emergency Savings Buffer
C10267,Highly Leveraged,NORMAL,GOOD,672.0,0,Continue Standard Monitoring
C10268,Strong Saver,CREDIT ALERT,CRITICAL,262.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10269,Active Investor,NORMAL,GOOD,700.0,0,Continue Standard Monitoring
C10270,Active Investor,NORMAL,GOOD,699.0,0,Continue Standard Monitoring
C10271,Active Investor,NORMAL,GOOD,648.0,0,Continue Standard Monitoring
C10272,Strong Saver,WATCHLIST,POOR,343.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10273,Active Investor,FRAUD WATCH,GOOD,669.0,1,Manual Fraud Review
C10274,Strong Saver,WATCHLIST,POOR,404.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10275,Active Investor,NORMAL,FAIR,592.0,0,Continue Standard Monitoring
C10276,Strong Saver,WATCHLIST,POOR,354.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10277,Active Investor,NORMAL,FAIR,590.0,0,Continue Standard Monitoring
C10278,Standard,NORMAL,GOOD,637.0,0,Continue Standard Monitoring
C10279,Strong Saver,WATCHLIST,POOR,390.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10280,Highly Leveraged,NORMAL,FAIR,463.0,0,Continue Standard Monitoring
C10281,Active Investor,NORMAL,FAIR,461.0,0,Continue Standard Monitoring
C10282,Strong Saver,NORMAL,FAIR,563.0,0,Continue Standard Monitoring
C10283,Highly Leveraged,NORMAL,GOOD,689.0,0,Encourage Emergency Savings Buffer
C10284,Highly Leveraged,NORMAL,GOOD,665.0,0,Continue Standard Monitoring
C10285,Active Investor,NORMAL,GOOD,669.0,0,Continue Standard Monitoring
C10286,Strong Saver,WATCHLIST,POOR,342.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10287,Active Investor,NORMAL,FAIR,587.0,0,Continue Standard Monitoring
C10288,Strong Saver,WATCHLIST,POOR,443.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10289,Highly Leveraged,WATCHLIST,POOR,435.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10290,Highly Leveraged,WATCHLIST,POOR,363.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10291,Credit-Reliant,WATCHLIST,POOR,309.0,0,Offer Financial Planning Session
C10292,Highly Leveraged,WATCHLIST,POOR,301.0,0,Reduce Loan Exposure; Offer Financial Planning Session; Encourage Emergency Savings Buffer
C10293,Strong Saver,NORMAL,FAIR,544.0,0,Continue Standard Monitoring
C10294,Active Investor,NORMAL,FAIR,569.0,0,Continue Standard Monitoring
C10295,Strong Saver,NORMAL,GOOD,664.0,0,Continue Standard Monitoring
C10296,Standard,NORMAL,GOOD,646.0,0,Continue Standard Monitoring
C10297,Strong Saver,NORMAL,GOOD,647.0,0,Continue Standard Monitoring
C10298,Strong Saver,WATCHLIST,POOR,414.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10299,Highly Leveraged,NORMAL,EXCELLENT,772.0,0,Continue Standard Monitoring
C10300,Strong Saver,WATCHLIST,POOR,340.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10301,Active Investor,NORMAL,GOOD,605.0,0,Continue Standard Monitoring
C10302,Strong Saver,NORMAL,GOOD,649.0,0,Continue Standard Monitoring
C10303,Highly Leveraged,WATCHLIST,POOR,402.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10304,Highly Leveraged,NORMAL,GOOD,668.0,0,Continue Standard Monitoring
C10305,Active Investor,WATCHLIST,POOR,443.0,0,Reduce Loan Exposure; Offer Financial Planning Session
C10306,Strong Saver,NORMAL,FAIR,584.0,0,Continue Standard Monitoring
